Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Chiseled Dreadstone Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Dreadstone Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Dreadstone Bricks
appliedenergistics2:facade:0, Cable Facade - Dreadstone Tile
appliedenergistics2:facade:0, Cable Facade - Dreadstone Chiseled Skull
appliedenergistics2:facade:0, Cable Facade - Dreadstone Bricks Slab
appliedenergistics2:facade:0, Cable Facade - Dreadwood Log
appliedenergistics2:facade:0, Cable Facade - Dreadwood Planks
appliedenergistics2:facade:0, Cable Facade - Dreadwood Keyhole
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Block of Sea Serpent Scales
appliedenergistics2:facade:0, Cable Facade - Logic Programmer
appliedenergistics2:facade:0, Cable Facade - Menril Wood
appliedenergistics2:facade:0, Cable Facade - Enriched Menril Wood
appliedenergistics2:facade:0, Cable Facade - Menril Leaves
appliedenergistics2:facade:0, Cable Facade - Menril Wood Planks
appliedenergistics2:facade:0, Cable Facade - Block of Crystalized Menril
appliedenergistics2:facade:0, Cable Facade - Crystalized Menril Brick
appliedenergistics2:facade:0, Cable Facade - Block of Crystalized Chorus
appliedenergistics2:facade:0, Cable Facade - Crystalized Chorus Brick
appliedenergistics2:facade:0, Cable Facade - Cloud
appliedenergistics2:facade:0, Cable Facade - Nacre Block
appliedenergistics2:facade:0, Cable Facade - Nacre Bricks
appliedenergistics2:facade:0, Cable Facade - Wisdom Leaves
appliedenergistics2:facade:0, Cable Facade - Wisdom Wood Log
appliedenergistics2:facade:0, Cable Facade - Wisdom Wood Planks
appliedenergistics2:facade:0, Cable Facade - Wisdom Wood Pigmented Planks
appliedenergistics2:facade:0, Cable Facade - Torikki Grass
appliedenergistics2:facade:0, Cable Facade - Iron Spikes
appliedenergistics2:facade:0, Cable Facade - Wither Boss Death Muffler
appliedenergistics2:facade:0, Cable Facade - Ender Dragon Death Muffler
appliedenergistics2:facade:0, Cable Facade - Dark Oak Stone
appliedenergistics2:facade:0, Cable Facade - Entity Conveyor
appliedenergistics2:facade:0, Cable Facade - Block of Cheese
appliedenergistics2:facade:0, Cable Facade - Barrel of Fish
appliedenergistics2:facade:0, Cable Facade - Garbage Pile
appliedenergistics2:facade:0, Cable Facade - Raw Marbled Cheese
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Slab
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Tile
appliedenergistics2:facade:0, Cable Facade - Chiseled Marbled Cheese
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Pillar
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Brick
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Brick Slab
appliedenergistics2:facade:0, Cable Facade - Chiseled Marbled Cheese Brick
appliedenergistics2:facade:0, Cable Facade - Cracked Marbled Cheese Brick
appliedenergistics2:facade:0, Cable Facade - Mossy Marbled Cheese Brick
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Dirt
appliedenergistics2:facade:0, Cable Facade - Marbled Cheese Grass
appliedenergistics2:facade:0, Cable Facade - Ratlantean Automaton Core
appliedenergistics2:facade:0, Cable Facade - Block of Ratglove
appliedenergistics2:facade:0, Cable Facade - Brain Block
appliedenergistics2:facade:0, Cable Facade - Jack O' Ratern
appliedenergistics2:facade:0, Cable Facade - Machine Frame
appliedenergistics2:facade:0, Cable Facade - Machine Base
appliedenergistics2:facade:0, Cable Facade - Dimensional Shard Ore
appliedenergistics2:facade:0, Cable Facade - Dimensional Shard Ore
appliedenergistics2:facade:0, Cable Facade - Dimensional Shard Ore
appliedenergistics2:facade:0, Cable Facade - Destination Analyzer
appliedenergistics2:facade:0, Cable Facade - Matter Booster
appliedenergistics2:facade:0, Cable Facade - Space Chamber Corner Block
appliedenergistics2:facade:0, Cable Facade - Support Block
appliedenergistics2:facade:0, Cable Facade - Shield Template
appliedenergistics2:facade:0, Cable Facade - Shield Template
appliedenergistics2:facade:0, Cable Facade - Shield Template
appliedenergistics2:facade:0, Cable Facade - Shield Template
appliedenergistics2:facade:0, Cable Facade - Dimensional Blank Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Cross 2 Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Cross Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Pattern 1 Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Pattern 2 Block
appliedenergistics2:facade:0, Cable Facade - Dimensional Small Blocks
appliedenergistics2:facade:0, Cable Facade - Activity Probe
appliedenergistics2:facade:0, Cable Facade - levarG
appliedenergistics2:facade:0, Cable Facade - dnaS
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Light Emitting)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (White-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Red-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Green-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Blue-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Yellow-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Orange-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Magenta-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Light-Blue-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Lime-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Pink-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Gray-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Light-Gray-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Cyan-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Purple-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Brown-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Black-Stained)
appliedenergistics2:facade:0, Cable Facade - Redstone-Sensitive Glass Block (Inverted, Light Emitting)
appliedenergistics2:facade:0, Cable Facade - Illuminant Block
appliedenergistics2:facade:0, Cable Facade - Illuminant Block (Inverted)
appliedenergistics2:facade:0, Cable Facade - Infested Block
appliedenergistics2:facade:0, Cable Facade - Infested Block
appliedenergistics2:facade:0, Cable Facade - Void Stone
appliedenergistics2:facade:0, Cable Facade - Tainted Void Stone
appliedenergistics2:facade:0, Cable Facade - Tainted Void Stone Soil
appliedenergistics2:facade:0, Cable Facade - Wishing Well Stone
appliedenergistics2:facade:0, Cable Facade - Desert Wishing Well Stone
appliedenergistics2:facade:0, Cable Facade - Wither Log
appliedenergistics2:facade:0, Cable Facade - Wither Planks
appliedenergistics2:facade:0, Cable Facade - Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Ruby Ore
appliedenergistics2:facade:0, Cable Facade - Grass Block
appliedenergistics2:facade:0, Cable Facade - Sand Block
appliedenergistics2:facade:0, Cable Facade - Red Sand Block
appliedenergistics2:facade:0, Cable Facade - Leather Block
appliedenergistics2:facade:0, Cable Facade - Straw Block
appliedenergistics2:facade:0, Cable Facade - Rock Salt
appliedenergistics2:facade:0, Cable Facade - Redstone Proxy
appliedenergistics2:facade:0, Cable Facade - Redstone Proxy (update)
appliedenergistics2:facade:0, Cable Facade - Antenna
appliedenergistics2:facade:0, Cable Facade - Antenna Base
appliedenergistics2:facade:0, Cable Facade - Antenna Dish
appliedenergistics2:facade:0, Cable Facade - Binoculars
appliedenergistics2:facade:0, Cable Facade - Lamp Top
appliedenergistics2:facade:0, Cable Facade - Lamp Base
appliedenergistics2:facade:0, Cable Facade - Lamp Middle
appliedenergistics2:facade:0, Cable Facade - Lion Plush
appliedenergistics2:facade:0, Cable Facade - Orca Plush
appliedenergistics2:facade:0, Cable Facade - Hawksbill Sea Turtle Plush
appliedenergistics2:facade:0, Cable Facade - Platypus Plush
appliedenergistics2:facade:0, Cable Facade - Gorilla Plush
appliedenergistics2:facade:0, Cable Facade - Asian Elephant Plush
appliedenergistics2:facade:0, Cable Facade - Monkey Plush
appliedenergistics2:facade:0, Cable Facade - Bengal Tiger Plush
appliedenergistics2:facade:0, Cable Facade - Eagle Plush
appliedenergistics2:facade:0, Cable Facade - Giraffe Plush
appliedenergistics2:facade:0, Cable Facade - Grizzly Plush
appliedenergistics2:facade:0, Cable Facade - Moose Plush
appliedenergistics2:facade:0, Cable Facade - Octopus Plush
appliedenergistics2:facade:0, Cable Facade - Red Panda Plush
appliedenergistics2:facade:0, Cable Facade - Cockatoo Plush
appliedenergistics2:facade:0, Cable Facade - Dolphin Plush
appliedenergistics2:facade:0, Cable Facade - Kangaroo Plush
appliedenergistics2:facade:0, Cable Facade - Okapi Plush
appliedenergistics2:facade:0, Cable Facade - Rhino Plush
appliedenergistics2:facade:0, Cable Facade - Shark Plush
appliedenergistics2:facade:0, Cable Facade - Zebra Plush
appliedenergistics2:facade:0, Cable Facade - Rainbow Zebra Plush
appliedenergistics2:facade:0, Cable Facade - Macaw Plush
appliedenergistics2:facade:0, Cable Facade - Red Macaw Plush
appliedenergistics2:facade:0, Cable Facade - Koala Plush
appliedenergistics2:facade:0, Cable Facade - Vines
appliedenergistics2:facade:0, Cable Facade - Dried Bamboo Decoration
appliedenergistics2:facade:0, Cable Facade - Dried Bamboo Decoration
appliedenergistics2:facade:0, Cable Facade - River Stones
appliedenergistics2:facade:0, Cable Facade - Paving Stone
appliedenergistics2:facade:0, Cable Facade - Mixed Stone
appliedenergistics2:facade:0, Cable Facade - Mixed Stone Mossy
appliedenergistics2:facade:0, Cable Facade - Rope
appliedenergistics2:facade:0, Cable Facade - Thin Rope
appliedenergistics2:facade:0, Cable Facade - Tire Swing
appliedenergistics2:facade:0, Cable Facade - Enrichment Ball
appliedenergistics2:facade:0, Cable Facade - Hanging Ball
appliedenergistics2:facade:0, Cable Facade - Heat Lamp
appliedenergistics2:facade:0, Cable Facade - Waste Bin
appliedenergistics2:facade:0, Cable Facade - Recycle Bin
appliedenergistics2:facade:0, Cable Facade - Scratching Post
appliedenergistics2:facade:0, Cable Facade - Petrified Calamites Log
appliedenergistics2:facade:0, Cable Facade - Fossilized Biped Trackway
appliedenergistics2:facade:0, Cable Facade - Fossilized Small Biped Trackway
appliedenergistics2:facade:0, Cable Facade - Fossilized Raptor Trackway
appliedenergistics2:facade:0, Cable Facade - Araucaria Leaves
appliedenergistics2:facade:0, Cable Facade - Peat Moss
appliedenergistics2:facade:0, Cable Facade - Petrified Psaronius Log
appliedenergistics2:facade:0, Cable Facade - Reinforced Bricks
appliedenergistics2:facade:0, Cable Facade - Plant Fossil
appliedenergistics2:facade:0, Cable Facade - Ginkgo Slab
appliedenergistics2:facade:0, Cable Facade - Psaronius Leaves
appliedenergistics2:facade:0, Cable Facade - Petrified Phoenix Log
appliedenergistics2:facade:0, Cable Facade - Phoenix Slab
appliedenergistics2:facade:0, Cable Facade - Velociraptor Fossil
appliedenergistics2:facade:0, Cable Facade - Coelacanth Fossil
appliedenergistics2:facade:0, Cable Facade - Microraptor Fossil
appliedenergistics2:facade:0, Cable Facade - Brachiosaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Mussaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Dilophosaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Gallimimus Fossil
appliedenergistics2:facade:0, Cable Facade - Parasaurolophus Fossil
appliedenergistics2:facade:0, Cable Facade - Fossilized Nest
appliedenergistics2:facade:0, Cable Facade - Fossilized Nest
appliedenergistics2:facade:0, Cable Facade - Fossilized Nest
appliedenergistics2:facade:0, Cable Facade - Ginkgo Planks
appliedenergistics2:facade:0, Cable Facade - tile.plankton_swarm.name
appliedenergistics2:facade:0, Cable Facade - Ginkgo Log
appliedenergistics2:facade:0, Cable Facade - Triceratops Fossil
appliedenergistics2:facade:0, Cable Facade - Tyrannosaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Phoenix Planks
appliedenergistics2:facade:0, Cable Facade - Reinforced Stone
appliedenergistics2:facade:0, Cable Facade - Petrified Araucaria Log
appliedenergistics2:facade:0, Cable Facade - Gypsum Stone
appliedenergistics2:facade:0, Cable Facade - Phoenix Log
appliedenergistics2:facade:0, Cable Facade - Psaronius Slab
appliedenergistics2:facade:0, Cable Facade - Bennettitalean Prehistoric Plant Bale
appliedenergistics2:facade:0, Cable Facade - Calamites Log
appliedenergistics2:facade:0, Cable Facade - Ice Shard Ore
appliedenergistics2:facade:0, Cable Facade - Gypsum Cobblestone
appliedenergistics2:facade:0, Cable Facade - Encased Velociraptor Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Coelacanth Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Microraptor Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Brachiosaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Mussaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Dilophosaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Gallimimus Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Parasaurolophus Fossil
appliedenergistics2:facade:0, Cable Facade - Peat
appliedenergistics2:facade:0, Cable Facade - Calamites Planks
appliedenergistics2:facade:0, Cable Facade - Prehistoric Plant Bale
appliedenergistics2:facade:0, Cable Facade - Psaronius Planks
appliedenergistics2:facade:0, Cable Facade - Petrified Ginkgo Log
appliedenergistics2:facade:0, Cable Facade - Cycad Prehistoric Plant Bale
appliedenergistics2:facade:0, Cable Facade - Ginkgo Leaves
appliedenergistics2:facade:0, Cable Facade - Calamites Slab
appliedenergistics2:facade:0, Cable Facade - Araucaria Slab
appliedenergistics2:facade:0, Cable Facade - Gypsum Bricks
appliedenergistics2:facade:0, Cable Facade - tile.krill_swarm.name
appliedenergistics2:facade:0, Cable Facade - Calamites Leaves
appliedenergistics2:facade:0, Cable Facade - Psaronius Log
appliedenergistics2:facade:0, Cable Facade - Phoenix Leaves
appliedenergistics2:facade:0, Cable Facade - Araucaria Log
appliedenergistics2:facade:0, Cable Facade - Araucaria Planks
appliedenergistics2:facade:0, Cable Facade - Fern Prehistoric Plant Bale
appliedenergistics2:facade:0, Cable Facade - Leaves Prehistoric Plant Bale
appliedenergistics2:facade:0, Cable Facade - Encased Fossilized Nest
appliedenergistics2:facade:0, Cable Facade - Encased Fossilized Nest
appliedenergistics2:facade:0, Cable Facade - Encased Fossilized Nest
appliedenergistics2:facade:0, Cable Facade - Encased Triceratops Fossil
appliedenergistics2:facade:0, Cable Facade - Encased Tyrannosaurus Fossil
appliedenergistics2:facade:0, Cable Facade - Amber Ore
appliedenergistics2:facade:0, Cable Facade - Restonia Crystal Block
appliedenergistics2:facade:0, Cable Facade - Palis Crystal Block
appliedenergistics2:facade:0, Cable Facade - Diamatine Crystal Block
appliedenergistics2:facade:0, Cable Facade - Void Crystal Block
appliedenergistics2:facade:0, Cable Facade - Emeradic Crystal Block
appliedenergistics2:facade:0, Cable Facade - Enori Crystal Block
appliedenergistics2:facade:0, Cable Facade - Empowered Restonia Crystal Block
appliedenergistics2:facade:0, Cable Facade - Empowered Palis Crystal Block
appliedenergistics2:facade:0, Cable Facade - Empowered Diamatine Crystal Block
appliedenergistics2:facade:0, Cable Facade - Empowered Void Crystal Block
appliedenergistics2:facade:0, Cable Facade - Empowered Emeradic Crystal Block
appliedenergistics2:facade:0, Cable Facade - Empowered Enori Crystal Block
appliedenergistics2:facade:0, Cable Facade - Ethetic Green Block
appliedenergistics2:facade:0, Cable Facade - Ethetic Quartz
appliedenergistics2:facade:0, Cable Facade - White Lamp
appliedenergistics2:facade:0, Cable Facade - Orange Lamp
appliedenergistics2:facade:0, Cable Facade - Magenta Lamp
appliedenergistics2:facade:0, Cable Facade - Light Blue Lamp
appliedenergistics2:facade:0, Cable Facade - Yellow Lamp
appliedenergistics2:facade:0, Cable Facade - Lime Lamp
appliedenergistics2:facade:0, Cable Facade - Pink Lamp
appliedenergistics2:facade:0, Cable Facade - Gray Lamp
appliedenergistics2:facade:0, Cable Facade - Light Gray Lamp
appliedenergistics2:facade:0, Cable Facade - Cyan Lamp
appliedenergistics2:facade:0, Cable Facade - Purple Lamp
appliedenergistics2:facade:0, Cable Facade - Blue Lamp
appliedenergistics2:facade:0, Cable Facade - Brown Lamp
appliedenergistics2:facade:0, Cable Facade - Green Lamp
appliedenergistics2:facade:0, Cable Facade - Red Lamp
appliedenergistics2:facade:0, Cable Facade - Black Lamp
appliedenergistics2:facade:0, Cable Facade - White Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Orange Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Magenta Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Light Blue Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Yellow Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Lime Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Pink Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Gray Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Light Gray Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Cyan Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Purple Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Blue Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Brown Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Green Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Red Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Black Lamp (On)
appliedenergistics2:facade:0, Cable Facade - Lamp Controller
appliedenergistics2:facade:0, Cable Facade - Treasure Chest
appliedenergistics2:facade:0, Cable Facade - Pillar of Black Quartz
appliedenergistics2:facade:0, Cable Facade - Chiseled Block of Black Quartz
appliedenergistics2:facade:0, Cable Facade - Block of Black Quartz
appliedenergistics2:facade:0, Cable Facade - Black Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Wood Casing
appliedenergistics2:facade:0, Cable Facade - Block of Charcoal
appliedenergistics2:facade:0, Cable Facade - Block of Enderpearl
appliedenergistics2:facade:0, Cable Facade - Casing
appliedenergistics2:facade:0, Cable Facade - Ender Casing
appliedenergistics2:facade:0, Cable Facade - Iron Casing
appliedenergistics2:facade:0, Cable Facade - Hellshelf
appliedenergistics2:facade:0, Cable Facade - Nether Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Nether Iron Ore
appliedenergistics2:facade:0, Cable Facade - Nether Gold Ore
appliedenergistics2:facade:0, Cable Facade - Nether Coal Ore
appliedenergistics2:facade:0, Cable Facade - Nether Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Nether Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Nether Diamond Ore
appliedenergistics2:facade:0, Cable Facade - End Redstone Ore
appliedenergistics2:facade:0, Cable Facade - End Coal Ore
appliedenergistics2:facade:0, Cable Facade - End Lapis Ore
appliedenergistics2:facade:0, Cable Facade - End Emerald Ore
appliedenergistics2:facade:0, Cable Facade - End Diamond Ore
appliedenergistics2:facade:0, Cable Facade - End Gold Ore
appliedenergistics2:facade:0, Cable Facade - End Iron Ore
appliedenergistics2:facade:0, Cable Facade - Dry Peat Bog
appliedenergistics2:facade:0, Cable Facade - Saturated Peat Deposit
appliedenergistics2:facade:0, Cable Facade - Soundproofing
appliedenergistics2:facade:0, Cable Facade - Shearing Block
appliedenergistics2:facade:0, Cable Facade - Frostweb
appliedenergistics2:facade:0, Cable Facade - Lushstone Pillar
appliedenergistics2:facade:0, Cable Facade - Demon Crystal
appliedenergistics2:facade:0, Cable Facade - Shadow Crystal
appliedenergistics2:facade:0, Cable Facade - Quickweb
appliedenergistics2:facade:0, Cable Facade - Doomfire
appliedenergistics2:facade:0, Cable Facade - Poop Cloud
appliedenergistics2:facade:0, Cable Facade - Polished Desertstone
appliedenergistics2:facade:0, Cable Facade - Chiseled Demonstone
appliedenergistics2:facade:0, Cable Facade - Double Aberrantstone Slab
appliedenergistics2:facade:0, Cable Facade - Desertstone Tile
appliedenergistics2:facade:0, Cable Facade - Polished Lushstone
appliedenergistics2:facade:0, Cable Facade - Double Desertstone Slab
appliedenergistics2:facade:0, Cable Facade - Chiseled Desertstone
appliedenergistics2:facade:0, Cable Facade - Aberrantstone
appliedenergistics2:facade:0, Cable Facade - Hellfire
appliedenergistics2:facade:0, Cable Facade - Double Shadowstone Slab
appliedenergistics2:facade:0, Cable Facade - Chiseled Shadowstone
appliedenergistics2:facade:0, Cable Facade - Icefire
appliedenergistics2:facade:0, Cable Facade - Poison Cloud
appliedenergistics2:facade:0, Cable Facade - Shadowfire
appliedenergistics2:facade:0, Cable Facade - Shadowstone Tile
appliedenergistics2:facade:0, Cable Facade - Aberrantstone Pillar
appliedenergistics2:facade:0, Cable Facade - Lush Crystal
appliedenergistics2:facade:0, Cable Facade - Desert Crystal
appliedenergistics2:facade:0, Cable Facade - Aberrant Crystal
appliedenergistics2:facade:0, Cable Facade - Propolis
appliedenergistics2:facade:0, Cable Facade - Scorchfire
appliedenergistics2:facade:0, Cable Facade - Demonstone Pillar
appliedenergistics2:facade:0, Cable Facade - Chiseled Lushstone
appliedenergistics2:facade:0, Cable Facade - Aberrant Soulcube
appliedenergistics2:facade:0, Cable Facade - Demonic Soulcube
appliedenergistics2:facade:0, Cable Facade - Aberrantstone Brick
appliedenergistics2:facade:0, Cable Facade - Polished Aberrantstone
appliedenergistics2:facade:0, Cable Facade - Undead Soulcube
appliedenergistics2:facade:0, Cable Facade - Frostcloud
appliedenergistics2:facade:0, Cable Facade - Desertstone
appliedenergistics2:facade:0, Cable Facade - Shadowstone
appliedenergistics2:facade:0, Cable Facade - Polished Shadowstone
appliedenergistics2:facade:0, Cable Facade - Shadowstone Brick
appliedenergistics2:facade:0, Cable Facade - Lushstone Tile
appliedenergistics2:facade:0, Cable Facade - Lushstone
appliedenergistics2:facade:0, Cable Facade - Desertstone Pillar
appliedenergistics2:facade:0, Cable Facade - Shadowstone Pillar
appliedenergistics2:facade:0, Cable Facade - Lushstone Brick
appliedenergistics2:facade:0, Cable Facade - Double Lushstone Slab
appliedenergistics2:facade:0, Cable Facade - Demonstone Tile
appliedenergistics2:facade:0, Cable Facade - Desertstone Brick
appliedenergistics2:facade:0, Cable Facade - Double Demonstone Slab
appliedenergistics2:facade:0, Cable Facade - Frostfire
appliedenergistics2:facade:0, Cable Facade - Aberrantstone Tile
appliedenergistics2:facade:0, Cable Facade - Demonstone Brick
appliedenergistics2:facade:0, Cable Facade - Veswax
appliedenergistics2:facade:0, Cable Facade - Polished Demonstone
appliedenergistics2:facade:0, Cable Facade - Demonstone
appliedenergistics2:facade:0, Cable Facade - Chiseled Aberrantstone
appliedenergistics2:facade:0, Cable Facade - Witch's Urn
appliedenergistics2:facade:0, Cable Facade - Glowstool Block
appliedenergistics2:facade:0, Cable Facade - Mushroom Stem
appliedenergistics2:facade:0, Cable Facade - Cinnamon Wood
appliedenergistics2:facade:0, Cable Facade - Maple Wood
appliedenergistics2:facade:0, Cable Facade - Paperbark Wood
appliedenergistics2:facade:0, Cable Facade - Well
appliedenergistics2:facade:0, Cable Facade - Beehive
appliedenergistics2:facade:0, Cable Facade - Honey Block
appliedenergistics2:facade:0, Cable Facade - Honeycomb Block
appliedenergistics2:facade:0, Cable Facade - Pressed Wax Block
appliedenergistics2:facade:0, Cable Facade - Waxcomb Block
appliedenergistics2:facade:0, Cable Facade - Thatch
appliedenergistics2:facade:0, Cable Facade - Charred Log
appliedenergistics2:facade:0, Cable Facade - Charred Planks
appliedenergistics2:facade:0, Cable Facade - Mud Block
appliedenergistics2:facade:0, Cable Facade - Mud Brick
appliedenergistics2:facade:0, Cable Facade - Pearl Block
appliedenergistics2:facade:0, Cable Facade - Block of Copper
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Block of Silver
appliedenergistics2:facade:0, Cable Facade - Silver Ore
appliedenergistics2:facade:0, Cable Facade - Block of Amethyst
appliedenergistics2:facade:0, Cable Facade - Amethyst Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
